reference,source_type,year,page,term,defined,type,definition,definitions_cited,definition_breadth,emic_component,functional_component,morphological_component,raw_material_component,technological_component,materialist_typological,region,notes
"Barrett, M.C. 2014 Flake to core ratios and human mobility: an investigation of stone artefact assemblages from Egypt and Australia. Masters, Auckland, University of Auckland.",thesis_masters,2014,49,core,yes,category,"""A core is the rock from which flakes were struck. Most cores therefore only have dorsal surfaces that exhibit negative flake scars (Holdaway and Stern 2004).""","Holdaway, S. and N. Stern 2004 A record in stone: the study of Australia’s flaked stone artefacts. Canberra, Aboriginal Studies Press.",broad,no,no,no,no,explicit,typological,New South Wales,"definition contains no explicit functional component, but other categories imply that there is one"
"Barrett, M.C. 2014 Flake to core ratios and human mobility: an investigation of stone artefact assemblages from Egypt and Australia. Masters, Auckland, University of Auckland.",thesis_masters,2014,49,unifacial core,yes,subcategory,"""Unifacial cores are those which consist of a single platform, where all flakes are struck from that platform in a single direction""",na,broad,no,implicit,no,no,explicit,typological,New South Wales,"definition contains no explicit functional component, but other categories imply that there is one"
"Barrett, M.C. 2014 Flake to core ratios and human mobility: an investigation of stone artefact assemblages from Egypt and Australia. Masters, Auckland, University of Auckland.",thesis_masters,2014,49,bidirectional core,yes,subcategory,"""Bidirectional cores have two opposing platforms where flakes have been struck from both, thus from opposite directions.""",na,broad,no,implicit,no,no,explicit,typological,New South Wales,"definition contains no explicit functional component, but other categories imply that there is one"
"Barrett, M.C. 2014 Flake to core ratios and human mobility: an investigation of stone artefact assemblages from Egypt and Australia. Masters, Auckland, University of Auckland.",thesis_masters,2014,49,bifacial core,yes,subcategory,"""Bifacial cores have a single platform but flakes are struck from two faces of the core.""",na,broad,no,implicit,no,no,explicit,typological,New South Wales,"definition contains no explicit functional component, but other categories imply that there is one"
"Barrett, M.C. 2014 Flake to core ratios and human mobility: an investigation of stone artefact assemblages from Egypt and Australia. Masters, Auckland, University of Auckland.",thesis_masters,2014,49-50,multiple core,yes,subcategory,"""Multiple cores exhibit core rotation, consisting of two or more platforms with no clear pattern in the orientation of the platforms or scars from flaking (Holdaway and Stern 2004, see Figure 4.8).""","Holdaway, S. and N. Stern 2004 A record in stone: the study of Australia’s flaked stone artefacts. Canberra, Aboriginal Studies Press.",broad,no,implicit,no,no,explicit,typological,New South Wales,"definition contains no explicit functional component, but other categories imply that there is one"
"Barrett, M.C. 2014 Flake to core ratios and human mobility: an investigation of stone artefact assemblages from Egypt and Australia. Masters, Auckland, University of Auckland.",thesis_masters,2014,na,flake core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Barrett, M.C. 2014 Flake to core ratios and human mobility: an investigation of stone artefact assemblages from Egypt and Australia. Masters, Auckland, University of Auckland.",thesis_masters,2014,na,microblade core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Barrett, M.C. 2014 Flake to core ratios and human mobility: an investigation of stone artefact assemblages from Egypt and Australia. Masters, Auckland, University of Auckland.",thesis_masters,2014,na,nuclear tool,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Barrett, M.C. 2014 Flake to core ratios and human mobility: an investigation of stone artefact assemblages from Egypt and Australia. Masters, Auckland, University of Auckland.",thesis_masters,2014,na,radial core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Barrett, M.C. 2014 Flake to core ratios and human mobility: an investigation of stone artefact assemblages from Egypt and Australia. Masters, Auckland, University of Auckland.",thesis_masters,2014,na,test core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Barrett, M.C. 2014 Flake to core ratios and human mobility: an investigation of stone artefact assemblages from Egypt and Australia. Masters, Auckland, University of Auckland.",thesis_masters,2014,na,tranchet core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Barry, L., I.T. Graham, S.D. Mooney, P.S. Toms, J.C. Wood, and A.N. Williams 2020 Tracking an exotic raw material: Aboriginal movement through the Blue Mountains, Sydney, NSW during the Terminal Pleistocene. Australian Archaeology 1–12.",paper,2020,na,na,na,na,na,na,na,na,na,na,na,na,na,New South Wales,
"Barton, H. 2003 The thin film of human action: Iinterpretations of arid zone archaeology. Australian Archaeology 57(1):32–41.",paper,2003,na,core,na,category,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H. 2003 The thin film of human action: Iinterpretations of arid zone archaeology. Australian Archaeology 57(1):32–41.",paper,2003,na,single platform core,na,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H. 2003 The thin film of human action: Iinterpretations of arid zone archaeology. Australian Archaeology 57(1):32–41.",paper,2003,na,multi-platform core,na,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H. 2003 The thin film of human action: Iinterpretations of arid zone archaeology. Australian Archaeology 57(1):32–41.",paper,2003,37,primary core,yes,subcategory,"""primary: flakes removed from cortical platform""",na,na,no,no,no,no,explicit,materialist,Queensland,
"Barton, H. 2003 The thin film of human action: Iinterpretations of arid zone archaeology. Australian Archaeology 57(1):32–41.",paper,2003,37,secondary core,yes,subcategory,"""secondary: cortex on core body but flakes removed from tertiary platform""",na,na,no,no,no,no,explicit,materialist,Queensland,
"Barton, H. 2003 The thin film of human action: Iinterpretations of arid zone archaeology. Australian Archaeology 57(1):32–41.",paper,2003,37,tertiary core,yes,subcategory,"""tertiary: no cortex remaining on core body.""",na,na,no,no,no,no,explicit,materialist,Queensland,
"Barton, H. 2008 Expedient Technologies and Curated Tools Within a System of High Residential Mobiltty: An Example Using Mass Analysis of Flakes from the Simpson Desert, Central Australia. Lithic Technology 33(1):51–71.",paper,2008,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H. 2008 Expedient Technologies and Curated Tools Within a System of High Residential Mobiltty: An Example Using Mass Analysis of Flakes from the Simpson Desert, Central Australia. Lithic Technology 33(1):51–71.",paper,2008,na,informal core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H. 2008 Expedient Technologies and Curated Tools Within a System of High Residential Mobiltty: An Example Using Mass Analysis of Flakes from the Simpson Desert, Central Australia. Lithic Technology 33(1):51–71.",paper,2008,na,expedient core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H. 2008 Expedient Technologies and Curated Tools Within a System of High Residential Mobiltty: An Example Using Mass Analysis of Flakes from the Simpson Desert, Central Australia. Lithic Technology 33(1):51–71.",paper,2008,na,formal core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H. 2008 Expedient Technologies and Curated Tools Within a System of High Residential Mobiltty: An Example Using Mass Analysis of Flakes from the Simpson Desert, Central Australia. Lithic Technology 33(1):51–71.",paper,2008,na,micro-blade core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H. 2008 Expedient Technologies and Curated Tools Within a System of High Residential Mobiltty: An Example Using Mass Analysis of Flakes from the Simpson Desert, Central Australia. Lithic Technology 33(1):51–71.",paper,2008,na,primary core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H. 2008 Expedient Technologies and Curated Tools Within a System of High Residential Mobiltty: An Example Using Mass Analysis of Flakes from the Simpson Desert, Central Australia. Lithic Technology 33(1):51–71.",paper,2008,58,tertiary core,yes,subcategory,"""In the final stage of reduction, tertiary cores are characterised as having no cortex.""",na,na,no,implicit,no,no,explicit,materialist,Queensland,
"Barton, H. 2008 Expedient Technologies and Curated Tools Within a System of High Residential Mobiltty: An Example Using Mass Analysis of Flakes from the Simpson Desert, Central Australia. Lithic Technology 33(1):51–71.",paper,2008,58,secondary core,yes,subcategory,"""These cores retain some cortex on the core body, but platforms are on tertiary surfaces (l:e., surfaces without  cortex).""",na,na,no,implicit,no,no,explicit,materialist,Queensland,
"Barton, H. 2008 Expedient Technologies and Curated Tools Within a System of High Residential Mobiltty: An Example Using Mass Analysis of Flakes from the Simpson Desert, Central Australia. Lithic Technology 33(1):51–71.",paper,2008,na,large flake core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H. 2008 Expedient Technologies and Curated Tools Within a System of High Residential Mobiltty: An Example Using Mass Analysis of Flakes from the Simpson Desert, Central Australia. Lithic Technology 33(1):51–71.",paper,2008,na,multi-platform core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H. 2008 Expedient Technologies and Curated Tools Within a System of High Residential Mobiltty: An Example Using Mass Analysis of Flakes from the Simpson Desert, Central Australia. Lithic Technology 33(1):51–71.",paper,2008,na,bifacial tool,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H. 2008 Expedient Technologies and Curated Tools Within a System of High Residential Mobiltty: An Example Using Mass Analysis of Flakes from the Simpson Desert, Central Australia. Lithic Technology 33(1):51–71.",paper,2008,na,prepared core,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Barton, H.J. 2001 Mobilising lithic studies : an application of evolutionary ecology to understanding prehistoric patterns of human behaviour in the simpson Desert, far western Queensland. PhD, Sydney, University of Sydney.",thesis_phd,2001,213,core,yes,category,"""The simplest definition of a core is that it should show one or more platforms or planes from which flakes were detached. Obviously cores with multiple rather than single platforms are easier to identify as cores since they do not become confused with retouched tools. Overall two groups of core technologies can be usefully identified as minimum categories; formal or prepared cores and expedient or amorphous cores (Parry & Kelly 1987; Johnson 1987).""","Johnson, J.K. 1987 Cahokia core technology in Mississippi: the view from the South. In J.K. Johnson and C.A. Morrow (eds), pp.187–206. The Organization of Core Technology. Boulder, Westview Press.

Parry, W. and R. Kelly 1987 Expedient core technology and sedentism. In J.K. Johnson and C.A. Morrow (eds), pp.285–304. The Organization of Core Technology. Boulder, Westview Press.",broad,no,no,no,no,explicit,typological,Queensland,
"Barton, H.J. 2001 Mobilising lithic studies : an application of evolutionary ecology to understanding prehistoric patterns of human behaviour in the simpson Desert, far western Queensland. PhD, Sydney, University of Sydney.",thesis_phd,2001,213,amorphous or expedient core,yes,subcategory,"""Amorphous or expedient cores consist of cores with minimum platform preparation where flakes are struck from the core in multiple directions with little or no regard for control over flake shape (Johnson 1987; Parry & Kelly 1987; Whittaker 1994)... Expedient cores are generally sub-divided in terms of the manner in which flakes were removed from them, as the flake itself is unspecialised (e.g., Kuhn 1994).""","Johnson, J.K. 1987 Cahokia core technology in Mississippi: the view from the South. In J.K. Johnson and C.A. Morrow (eds), pp.187–206. The Organization of Core Technology. Boulder, Westview Press.

Kuhn, S.L. 1994 A Formal Approach to the Design and Assembly of Mobile Toolkits. American Antiquity 59(3):426–442.

Parry, W. and R. Kelly 1987 Expedient core technology and sedentism. In J.K. Johnson and C.A. Morrow (eds), pp.285–304. The Organization of Core Technology. Boulder, Westview Press.

Whittaker, J.C. 2012 Flintknapping: Making and Understanding Stone Tools. University of Texas Press.",na,no,no,no,no,explicit,typological,Queensland,
"Barton, H.J. 2001 Mobilising lithic studies : an application of evolutionary ecology to understanding prehistoric patterns of human behaviour in the simpson Desert, far western Queensland. PhD, Sydney, University of Sydney.",thesis_phd,2001,213,formal or prepared core,yes,subcategory,"""Formal or prepared cores are defined by the evidence of platforms that are prepared and maintained by specific procedures (Johnson 1987). Such cores are generally used to produce a specialised or standardised product such as a blade or tool blank... Formal cores are usually further defined in terms of their end products, e.g., blade cores produce blades, Levallois cores produce Levallois flakes, and so-on.""","Johnson, J.K. 1987 Cahokia core technology in Mississippi: the view from the South. In J.K. Johnson and C.A. Morrow (eds), pp.187–206. The Organization of Core Technology. Boulder, Westview Press.",na,no,explicit,no,no,explicit,typological,Queensland,
